City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,porto novo,6.4965,2.6036,28.9,80,36,2.49,BJ,1738716859
82,magadan,59.5667,150.8,-21.28,73,6,2.22,RU,1738716994
83,uturoa,-16.7333,-151.4333,28.21,69,26,4.01,PF,1738716527
84,ushuaia,-54.8,-68.3,8.81,81,75,7.72,AR,1738716381
85,nuuk,64.1835,-51.7216,-12.66,61,82,7.72,GL,1738716919
86,longyearbyen,78.2186,15.6401,-3.09,68,40,12.86,SJ,1738716999
87,vadso,70.0744,29.7487,-11.91,72,100,7.2,NO,1738717000
88,mumford,5.2618,-0.759,26.89,85,11,4.35,GH,1738717001
89,utrik,11.2278,169.8474,26.64,80,16,9.56,MH,1738717003
90,puerto baquerizo moreno,-0.9,-89.6,24.39,86,8,3.93,EC,1738716936
91,pahrump,36.2083,-115.9839,16.52,26,0,4.17,US,1738716842
92,atafu village,-8.5421,-172.5159,28.65,67,9,5.94,TK,1738717006
93,imbituba,-28.24,-48.6703,22.91,87,100,2.87,BR,1738717007
94,pisco,-13.7,-76.2167,23.03,83,0,7.2,PE,1738716589
95,mgandu,-5.95,34.1333,16.06,96,100,1.01,TZ,1738717009
96,kuala belait,4.5833,114.1833,26.41,86,23,3.84,BN,1738717010
97,howrah,22.5892,88.3103,19.0,82,40,0.0,IN,1738716455
98,noosa heads,-26.3833,153.15,24.29,85,100,3.86,AU,1738717013
99,carnarvon,-24.8667,113.6333,27.07,74,7,4.1,AU,1738716608
100,tadine,-21.55,167.8833,26.51,79,100,3.92,NC,1738716916
101,kruisfontein,-34.0033,24.7314,20.42,82,100,5.04,ZA,1738717017
102,port lincoln,-34.7333,135.8667,19.94,61,11,7.4,AU,1738717018
103,praia da vitoria,38.7333,-27.0667,16.14,100,75,6.72,PT,1738717019
104,dhaulpur,26.7,77.9,12.46,62,0,3.97,IN,1738717021
105,mundemba,4.9479,8.8724,25.37,92,99,0.58,CM,1738717022
106,arawa,-6.2132,155.5367,27.95,81,69,0.87,PG,1738717024
107,badger,64.8,-147.5333,-10.9,85,100,0.0,US,1738716613
108,isafjordur,66.0755,-23.124,-2.68,72,100,12.73,IS,1738716649
109,mozarlandia,-14.7447,-50.5706,22.87,91,92,1.63,BR,1738717027
110,mejit,10.2753,170.8646,26.65,84,61,10.01,MH,1738717028
111,namibe,-15.1961,12.1522,23.64,83,100,1.9,AO,1738717029
112,tamanrasset,22.785,5.5228,13.95,17,0,2.06,DZ,1738716584
113,herning,56.1393,8.9738,3.94,100,100,6.69,DK,1738717031
114,yerofey pavlovich,53.9667,121.9667,-25.53,93,89,1.94,RU,1738717032
115,farasan,16.7022,42.1183,24.98,75,6,9.0,SA,1738716440
116,sandnessjoen,66.0217,12.6316,-1.36,89,100,12.11,NO,1738717034
117,anadyr,64.75,177.4833,-29.72,67,5,9.83,RU,1738717035
118,waat,51.1454,6.4958,1.54,92,100,2.06,DE,1738716932
119,monterey,36.2505,-121.2516,10.5,89,100,7.2,US,1738717037
120,kodiak,57.79,-152.4072,2.73,70,0,2.06,US,1738717038
121,taoudenni,22.6783,-3.9836,15.71,22,0,5.54,ML,1738717039
122,geraldton,-28.7667,114.6,29.23,51,26,1.03,AU,1738717040
123,seabra,-12.4186,-41.7703,18.49,65,0,1.59,BR,1738716958
124,kuanda,56.3161,116.0806,-25.62,95,100,0.91,RU,1738716824
125,oranjemund,-28.55,16.4333,16.79,96,94,4.18,NA,1738716937
126,linghai,41.1653,121.3667,-11.6,37,0,4.14,CN,1738717045
127,mount isa,-20.7333,139.5,30.87,55,99,2.57,AU,1738716627
128,pacific grove,36.6177,-121.9166,17.06,90,100,16.99,US,1738716605
129,newman,37.3138,-121.0208,16.7,71,100,4.02,US,1738717048
130,fale old settlement,-9.3852,-171.2468,28.74,67,8,5.82,TK,1738716541
131,kingston,17.997,-76.7936,27.53,65,20,4.63,JM,1738716672
132,qaqortoq,60.7167,-46.0333,-19.31,64,15,5.3,GL,1738717051
133,suntar,62.1444,117.6319,-31.96,97,100,2.85,RU,1738717052
134,saint-pierre,-21.3393,55.4781,26.82,83,0,3.09,RE,1738717053
135,punta arenas,-53.15,-70.9167,11.06,66,0,11.32,CL,1738716518
136,sitka,57.0531,-135.33,6.94,26,0,2.06,US,1738716895
137,la ronge,55.1001,-105.2842,-20.86,65,0,2.06,CA,1738716923
138,vilyuchinsk,52.9306,158.4028,-3.85,79,100,1.55,RU,1738716573
139,rikaze,29.25,88.8833,-3.48,30,0,0.75,CN,1738717059
140,miramichi,47.0043,-65.4654,-9.89,74,100,5.01,CA,1738717061
141,adam,22.3756,57.5233,12.98,81,0,1.64,OM,1738717062
142,yung shue wan,22.2333,114.1167,14.86,73,4,0.89,HK,1738717063
143,saipan,15.1355,145.701,29.39,75,20,6.17,MP,1738716558
144,tofol,5.3248,163.0078,27.88,89,100,7.2,FM,1738716621
